source,held_out,tau,coverage,accepted_accuracy,unknown_rejection_rate,known_false_rejection_rate,M,train_time_s,inference_time_s,disagreement_auroc,method,Worms_recall,Analysis_recall,Shellcode_recall,macro_f1
ablation_a_threshold_sensitivity,"Worms, Analysis, Shellcode",0.0,1.0,0.986,0.0,0.0,,,,,,,,,
ablation_a_threshold_sensitivity,"Worms, Analysis, Shellcode",0.5,0.9807,0.9951,0.7437,0.0182,,,,,,,,,
ablation_a_threshold_sensitivity,"Worms, Analysis, Shellcode",0.7,0.9657,0.999,0.9575,0.0328,,,,,,,,,
ablation_a_threshold_sensitivity,"Worms, Analysis, Shellcode",0.85,0.9572,0.9997,0.9947,0.0413,,,,,,,,,
ablation_a_threshold_sensitivity,"Worms, Analysis, Shellcode",0.9,0.953,0.9998,0.9987,0.0455,,,,,,,,,
ablation_a_threshold_sensitivity,"Worms, Analysis, Shellcode",0.95,0.9492,1.0,1.0,0.0493,,,,,,,,,
ablation_a_threshold_sensitivity,"Backdoor, DoS, Fuzzers",0.0,1.0,0.9934,0.0,0.0,,,,,,,,,
ablation_a_threshold_sensitivity,"Backdoor, DoS, Fuzzers",0.5,0.9873,0.996,0.4508,0.0043,,,,,,,,,
ablation_a_threshold_sensitivity,"Backdoor, DoS, Fuzzers",0.7,0.9754,0.998,0.8114,0.0095,,,,,,,,,
ablation_a_threshold_sensitivity,"Backdoor, DoS, Fuzzers",0.85,0.9695,0.9989,0.9032,0.0138,,,,,,,,,
ablation_a_threshold_sensitivity,"Backdoor, DoS, Fuzzers",0.9,0.9673,0.9992,0.9226,0.0156,,,,,,,,,
ablation_a_threshold_sensitivity,"Backdoor, DoS, Fuzzers",0.95,0.9642,0.9999,0.9476,0.0183,,,,,,,,,
ablation_b_ensemble_size,,,,,,,1.0,7.2,0.0,0.5,,,,,
ablation_b_ensemble_size,,,,,,,3.0,17.2,5.516,0.7326,,,,,
ablation_b_ensemble_size,,,,,,,5.0,419.2,7.688,0.8589,,,,,
ablation_b_ensemble_size,,,,,,,10.0,471.3,8.937,0.8731,,,,,
ablation_c_imbalance_methods,,,,,,,,,,,none,0.40625,0.3346938775510204,0.5147058823529411,0.5931274587470048
ablation_c_imbalance_methods,,,,,,,,,,,class_weight,0.625,0.9387755102040816,0.7289915966386554,0.6363022798570886
ablation_c_imbalance_methods,,,,,,,,,,,SMOTE,0.59375,0.9387755102040816,0.7331932773109243,0.6154222629858477
per_class_tau_ablation,"Worms, Analysis, Shellcode",0.85,0.9572,,0.9947,0.0413,,,,,global_tau,,,,
per_class_tau_ablation,"Worms, Analysis, Shellcode",per-class,0.9878,,0.5046,0.0114,,,,,per_class_tau,,,,
per_class_tau_ablation,"Backdoor, DoS, Fuzzers",0.85,0.9695,,0.9032,0.0138,,,,,global_tau,,,,
per_class_tau_ablation,"Backdoor, DoS, Fuzzers",per-class,0.9843,,0.4374,0.0076,,,,,per_class_tau,,,,
